track_genre,avg_danceability,avg_energy,avg_valence,avg_tempo,avg_loudness,avg_popularity,track_count
pop-film,0.597,0.605,0.529,117.26,-7.872,59.28,1000
k-pop,0.648,0.676,0.557,119.22,-6.468,56.95,999
chill,0.664,0.427,0.404,115.48,-10.461,53.65,1000
sad,0.692,0.462,0.422,119.06,-10.275,52.38,1000
grunge,0.457,0.803,0.4,129.35,-5.661,49.59,1000
indian,0.592,0.567,0.463,116.14,-8.851,49.54,1000
anime,0.537,0.674,0.434,123.53,-7.932,48.77,1000
emo,0.599,0.67,0.441,126.99,-6.719,48.13,1000
sertanejo,0.592,0.71,0.619,127.05,-5.485,47.87,1000
pop,0.63,0.606,0.506,120.93,-6.954,47.58,1000
progressive-house,0.624,0.813,0.365,125.09,-5.421,46.62,1000
piano,0.455,0.32,0.313,118.08,-17.014,45.27,1000
mandopop,0.547,0.498,0.35,123.48,-8.177,45.03,1000
deep-house,0.71,0.742,0.447,120.87,-6.972,44.81,1000
brazil,0.563,0.621,0.47,121.94,-7.602,44.67,1000
electronic,0.653,0.695,0.392,122.95,-7.143,44.33,1000
pagode,0.578,0.712,0.688,126.86,-7.269,44.3,1000
ambient,0.369,0.238,0.168,111.45,-18.585,44.15,997
british,0.501,0.507,0.44,118.83,-10.52,43.8,1000
metal,0.464,0.84,0.418,127.91,-5.425,43.71,1000
metalcore,0.424,0.914,0.315,130.58,-4.458,43.48,1000
hard-rock,0.482,0.795,0.514,125.38,-6.747,42.78,1000
psych-rock,0.503,0.562,0.565,121.57,-9.985,42.78,1000
acoustic,0.55,0.435,0.424,119.01,-9.448,42.48,1000
dubstep,0.518,0.759,0.272,133.63,-5.063,42.32,1000
world-music,0.416,0.534,0.251,121.76,-9.399,41.93,997
forro,0.65,0.79,0.761,140.36,-5.122,41.83,1000
gospel,0.473,0.576,0.321,125.63,-7.195,41.64,1000
j-pop,0.552,0.68,0.542,124.61,-6.28,41.14,1000
french,0.651,0.595,0.43,117.82,-8.851,41.07,1000
garage,0.484,0.744,0.518,127.05,-6.554,40.93,1000
mpb,0.574,0.58,0.556,120.16,-9.11,40.79,1000
turkish,0.616,0.61,0.462,120.37,-8.225,40.7,1000
j-rock,0.509,0.761,0.538,128.52,-5.694,40.66,1000
indie-pop,0.604,0.561,0.461,120.18,-7.997,40.66,1000
dub,0.575,0.715,0.387,129.45,-6.05,40.04,1000
techno,0.684,0.746,0.322,128.26,-8.078,39.04,1000
