track_genre,avg_popularity,track_count
pop-film,59.283,1000
k-pop,56.952952952952955,999
chill,53.651,1000
sad,52.379,1000
grunge,49.594,1000
indian,49.539,1000
anime,48.772,1000
emo,48.128,1000
sertanejo,47.866,1000
pop,47.576,1000
progressive-house,46.615,1000
piano,45.273,1000
mandopop,45.025,1000
deep-house,44.808,1000
brazil,44.67,1000
electronic,44.325,1000
pagode,44.298,1000
ambient,44.151454363089265,997
british,43.802,1000
metal,43.705,1000
metalcore,43.477,1000
psych-rock,42.778,1000
hard-rock,42.775,1000
acoustic,42.483,1000
dubstep,42.317,1000
world-music,41.92577733199599,997
forro,41.826,1000
gospel,41.639,1000
j-pop,41.143,1000
french,41.067,1000
garage,40.933,1000
mpb,40.792,1000
turkish,40.698,1000
j-rock,40.664,1000
indie-pop,40.657,1000
dub,40.039,1000
techno,39.042,1000
indie,38.895,1000
samba,38.826,1000
punk,38.291,1000
punk-rock,38.236,1000
folk,38.006,1000
spanish,37.922,1000
groove,37.825,1000
singer-songwriter,37.813,1000
songwriter,37.813,1000
hip-hop,37.759,1000
trance,37.635,1000
swedish,37.175,1000
r-n-b,36.687,1000
synth-pop,36.576,1000
hardcore,36.105,1000
electro,36.075,1000
ska,35.126,1000
children,35.047,1000
edm,35.032,1000
cantopop,34.739,1000
sleep,34.509280742459396,862
trip-hop,34.46,1000
rock-n-roll,34.434,1000
house,34.156,1000
minimal-techno,34.022,1000
alt-rock,33.943,1000
disco,33.522,1000
dancehall,33.467,1000
club,33.338,1000
funk,32.322,1000
death-metal,32.169,1000
rockabilly,31.5,1000
show-tunes,31.256256256256258,999
blues,31.188,1000
industrial,31.041,1000
malay,30.358,1000
guitar,29.555220883534137,996
new-age,29.065,1000
goth,28.913,1000
salsa,28.066,1000
disney,27.536,1000
power-pop,26.898,1000
german,26.751,1000
drum-and-bass,26.657,1000
j-dance,26.656,1000
hardstyle,26.623,1000
heavy-metal,26.226,1000
study,26.108,1000
bluegrass,25.676,1000
latino,25.656,1000
j-idol,24.707,1000
comedy,24.628,1000
opera,24.597194388777556,998
afrobeat,24.399,1000
alternative,24.337,1000
reggaeton,23.858,1000
dance,22.69,1000
black-metal,22.449,1000
happy,21.716,1000
party,20.982,1000
reggae,20.63,1000
breakbeat,20.123,1000
tango,19.871,1000
soul,19.795,1000
rock,19.001,1000
country,17.028,1000
honky-tonk,16.355,1000
idm,15.766,1000
kids,14.888,1000
grindcore,14.625,1000
jazz,13.57957957957958,999
classical,13.055,1000
chicago-house,12.339,1000
detroit-techno,11.174,1000
latin,8.297,1000
romance,3.2222222222222223,999
iranian,2.218875502008032,996
